            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2448311.500000000, A.D. 1991-Feb-24 00:00:00.0000, -3.069559725669471E+07,  2.193891370477704E+08,  1.089705804486911E+07,
2448312.500000000, A.D. 1991-Feb-25 00:00:00.0000, -3.181168247298885E+07,  2.223438623888339E+08,  1.093544020923264E+07,
2448313.500000000, A.D. 1991-Feb-26 00:00:00.0000, -3.296430369527426E+07,  2.253088080836976E+08,  1.097351197571106E+07,
2448314.500000000, A.D. 1991-Feb-27 00:00:00.0000, -3.415370520788544E+07,  2.282833673376889E+08,  1.101128293676005E+07,
2448315.500000000, A.D. 1991-Feb-28 00:00:00.0000, -3.538012825711284E+07,  2.312669423125436E+08,  1.104876245313612E+07,
2448316.500000000, A.D. 1991-Mar-01 00:00:00.0000, -3.664381491813873E+07,  2.342589404354023E+08,  1.108595916663928E+07,
2448317.500000000, A.D. 1991-Mar-02 00:00:00.0000, -3.794500987327229E+07,  2.372587679634984E+08,  1.112288053774373E+07,
2448318.500000000, A.D. 1991-Mar-03 00:00:00.0000, -3.928396123908020E+07,  2.402658300899907E+08,  1.115953285932520E+07,
2448319.500000000, A.D. 1991-Mar-04 00:00:00.0000, -4.066091805671152E+07,  2.432795218927634E+08,  1.119592097340682E+07,
2448320.500000000, A.D. 1991-Mar-05 00:00:00.0000, -4.207612785073254E+07,  2.462992271892600E+08,  1.123204843715221E+07,
2448321.500000000, A.D. 1991-Mar-06 00:00:00.0000, -4.352983365710250E+07,  2.493243171371909E+08,  1.126791769194055E+07,
2448322.500000000, A.D. 1991-Mar-07 00:00:00.0000, -4.502227133906705E+07,  2.523541499108965E+08,  1.130353025484370E+07,
2448323.500000000, A.D. 1991-Mar-08 00:00:00.0000, -4.655366729505412E+07,  2.553880701103266E+08,  1.133888685042030E+07,
2448324.500000000, A.D. 1991-Mar-09 00:00:00.0000, -4.812423739806588E+07,  2.584254118602720E+08,  1.137398766341828E+07,
2448325.500000000, A.D. 1991-Mar-10 00:00:00.0000, -4.973418557671987E+07,  2.614654974312040E+08,  1.140883234997943E+07,
2448326.500000000, A.D. 1991-Mar-11 00:00:00.0000, -5.138370301514143E+07,  2.645076376277925E+08,  1.144342011161800E+07,
2448327.500000000, A.D. 1991-Mar-12 00:00:00.0000, -5.307296739507333E+07,  2.675511321100441E+08,  1.147774976809913E+07,
2448328.500000000, A.D. 1991-Mar-13 00:00:00.0000, -5.480214184135986E+07,  2.705952691957455E+08,  1.151181982784349E+07,
2448329.500000000, A.D. 1991-Mar-14 00:00:00.0000, -5.657137338100987E+07,  2.736393254338906E+08,  1.154562858515833E+07,
2448330.500000000, A.D. 1991-Mar-15 00:00:00.0000, -5.838079065870006E+07,  2.766825645800156E+08,  1.157917423686193E+07,
2448331.500000000, A.D. 1991-Mar-16 00:00:00.0000, -6.023050215265602E+07,  2.797242421745959E+08,  1.161245528322725E+07,
2448332.500000000, A.D. 1991-Mar-17 00:00:00.0000, -6.212059234943780E+07,  2.827636027147069E+08,  1.164547062794702E+07,
2448333.500000000, A.D. 1991-Mar-18 00:00:00.0000, -6.405111929691558E+07,  2.857998838898723E+08,  1.167821996639359E+07,
2448334.500000000, A.D. 1991-Mar-19 00:00:00.0000, -6.602211259254552E+07,  2.888323204826489E+08,  1.171070409353994E+07,
2448335.500000000, A.D. 1991-Mar-20 00:00:00.0000, -6.803357262239525E+07,  2.918601489049112E+08,  1.174292513140841E+07,
2448336.500000000, A.D. 1991-Mar-21 00:00:00.0000, -7.008547124234107E+07,  2.948826112835011E+08,  1.177488660813357E+07,
2448337.500000000, A.D. 1991-Mar-22 00:00:00.0000, -7.217775504800464E+07,  2.978989635238986E+08,  1.180659357441318E+07,
2448338.500000000, A.D. 1991-Mar-23 00:00:00.0000, -7.431034806689796E+07,  3.009084747008439E+08,  1.183805226886919E+07,
2448339.500000000, A.D. 1991-Mar-24 00:00:00.0000, -7.648315627212127E+07,  3.039104298946240E+08,  1.186926986858423E+07,
2448340.500000000, A.D. 1991-Mar-25 00:00:00.0000, -7.869607284709138E+07,  3.069041335034844E+08,  1.190025423524894E+07,
2448341.500000000, A.D. 1991-Mar-26 00:00:00.0000, -8.094898199288037E+07,  3.098889060125917E+08,  1.193101341682057E+07,
2448342.500000000, A.D. 1991-Mar-27 00:00:00.0000, -8.324176319577467E+07,  3.128640831923081E+08,  1.196155528229922E+07,
2448343.500000000, A.D. 1991-Mar-28 00:00:00.0000, -8.557429450024776E+07,  3.158290133465821E+08,  1.199188714348756E+07,
2448344.500000000, A.D. 1991-Mar-29 00:00:00.0000, -8.794645457618526E+07,  3.187830532280425E+08,  1.202201541227160E+07,
2448345.500000000, A.D. 1991-Mar-30 00:00:00.0000, -9.035812384600340E+07,  3.217255647492732E+08,  1.205194539138456E+07,
2448346.500000000, A.D. 1991-Mar-31 00:00:00.0000, -9.280918457417871E+07,  3.246559127707877E+08,  1.208168121296960E+07,
2448347.500000000, A.D. 1991-Apr-01 00:00:00.0000, -9.529951865988049E+07,  3.275734591740540E+08,  1.211122572939408E+07,
2448348.500000000, A.D. 1991-Apr-02 00:00:00.0000, -9.782900573314948E+07,  3.304775616451052E+08,  1.214058064356439E+07,
2448349.500000000, A.D. 1991-Apr-03 00:00:00.0000, -1.003975206188562E+08,  3.333675722031780E+08,  1.216974665434818E+07,
2448350.500000000, A.D. 1991-Apr-04 00:00:00.0000, -1.030049306838840E+08,  3.362428358088762E+08,  1.219872359714068E+07,
2448351.500000000, A.D. 1991-Apr-05 00:00:00.0000, -1.056510950509704E+08,  3.391026944983399E+08,  1.222751075775371E+07,
2448352.500000000, A.D. 1991-Apr-06 00:00:00.0000, -1.083358617995557E+08,  3.419464835380411E+08,  1.225610685547014E+07,
2448353.500000000, A.D. 1991-Apr-07 00:00:00.0000, -1.110590671860802E+08,  3.447735329156822E+08,  1.228451018844062E+07,
